timestamp,open,high,low,close,volume
2025-09-23 18:51:00+00:00,111733.5,111776.6,111733.4,111776.6,2.03012574
2025-09-23 18:52:00+00:00,111776.6,111800.0,111766.6,111800.0,3.36692191
2025-09-23 18:53:00+00:00,111800.0,111802.2,111799.9,111802.2,0.34439509
2025-09-23 18:54:00+00:00,111802.1,111802.2,111802.1,111802.2,0.07988814
2025-09-23 18:55:00+00:00,111802.2,111802.2,111798.8,111798.9,0.1725363
2025-09-23 18:56:00+00:00,111798.9,111798.9,111798.8,111798.9,0.24746229
2025-09-23 18:57:00+00:00,111798.9,111802.2,111798.8,111802.2,0.15754836
2025-09-23 18:58:00+00:00,111802.2,111809.9,111802.2,111809.9,1.12418564
2025-09-23 18:59:00+00:00,111809.9,111812.5,111809.9,111812.5,0.05543114
2025-09-23 19:00:00+00:00,111812.5,111812.5,111812.4,111812.5,0.96977727
2025-09-23 19:01:00+00:00,111812.5,111812.5,111812.4,111812.5,0.22119336
2025-09-23 19:02:00+00:00,111812.5,111812.5,111812.4,111812.5,0.11322284
2025-09-23 19:03:00+00:00,111812.5,111812.5,111812.4,111812.5,0.02389282
2025-09-23 19:04:00+00:00,111812.5,111860.0,111812.5,111858.0,30.08490003
2025-09-23 19:05:00+00:00,111858.0,111864.8,111858.0,111864.8,2.71541448
2025-09-23 19:06:00+00:00,111864.8,111943.2,111864.7,111943.2,0.33722809
2025-09-23 19:07:00+00:00,111943.2,111974.2,111943.2,111969.0,24.58084592
2025-09-23 19:08:00+00:00,111969.0,111969.0,111877.0,111893.3,1.22924081
2025-09-23 19:09:00+00:00,111893.3,111893.3,111893.2,111893.3,0.08760017
2025-09-23 19:10:00+00:00,111893.3,111893.3,111893.2,111893.3,1.0146626
2025-09-23 19:11:00+00:00,111893.2,111893.3,111893.2,111893.2,0.02296215
2025-09-23 19:12:00+00:00,111893.3,111893.3,111893.2,111893.3,0.0465722
2025-09-23 19:13:00+00:00,111893.3,111893.3,111893.2,111893.2,0.03496084
2025-09-23 19:14:00+00:00,111893.3,111893.3,111893.2,111893.3,0.06149827
2025-09-23 19:15:00+00:00,111893.3,111893.3,111893.2,111893.3,0.55069212
2025-09-23 19:16:00+00:00,111893.3,111893.3,111893.3,111893.3,0.08013429
2025-09-23 19:17:00+00:00,111893.3,111893.3,111893.2,111893.2,0.01167049
2025-09-23 19:18:00+00:00,111893.3,111893.3,111893.2,111893.3,0.12326259
2025-09-23 19:19:00+00:00,111893.3,111926.8,111893.2,111926.8,18.35726023
2025-09-23 19:20:00+00:00,111926.8,111926.8,111926.7,111926.7,0.9724232
2025-09-23 19:21:00+00:00,111926.7,111926.8,111870.9,111871.0,0.31999005
2025-09-23 19:22:00+00:00,111871.0,111871.0,111864.7,111864.8,0.09010891
2025-09-23 19:23:00+00:00,111864.8,111864.8,111864.7,111864.8,0.0518052
2025-09-23 19:24:00+00:00,111864.8,111864.8,111864.7,111864.8,0.0589816
2025-09-23 19:25:00+00:00,111864.8,111864.8,111864.7,111864.7,0.11100625
2025-09-23 19:26:00+00:00,111864.8,111864.8,111864.7,111864.8,0.18807414
2025-09-23 19:27:00+00:00,111864.8,111864.8,111800.0,111800.1,0.79224436
2025-09-23 19:28:00+00:00,111800.0,111800.1,111800.0,111800.0,0.43239536
2025-09-23 19:29:00+00:00,111800.0,111800.1,111800.0,111800.1,0.10153315
2025-09-23 19:30:00+00:00,111800.0,111800.1,111800.0,111800.1,0.54336783
2025-09-23 19:31:00+00:00,111800.1,111800.1,111800.0,111800.1,0.26905029
2025-09-23 19:32:00+00:00,111800.1,111800.1,111800.0,111800.1,0.03292024
2025-09-23 19:33:00+00:00,111800.1,111800.1,111800.0,111800.1,0.01168624
2025-09-23 19:34:00+00:00,111800.0,111800.1,111800.0,111800.0,0.19034786
